코드값,구분,코드명
101,공공체육시설,골프연습장
102,공공체육시설,하키장
103,공공체육시설,국궁장 
104,공공체육시설,당구장
105,공공체육시설,롤러스케이트장
106,공공체육시설,씨름장
107,공공체육시설,볼링장
108,공공체육시설,빙상장 
109,공공체육시설,사격장
110,공공체육시설,수영장
111,공공체육시설,승마장
112,공공체육시설,야구장
113,공공체육시설,양궁장
114,공공체육시설,전천후게이트볼장
115,공공체육시설,탁구장
116,공공체육시설,테니스장
117,공공체육시설,체력단련장
118,공공체육시설,간이운동장(야외운동기구)
119,공공체육시설,축구장
120,공공체육시설,싸이클경기장
121,공공체육시설,스키점프경기장
122,공공체육시설,바이애슬론경기장
123,공공체육시설,크로스컨트리경기장
124,공공체육시설,펜싱훈련장
125,공공체육시설,요트장
126,공공체육시설,조정카누장
127,공공체육시설,육상경기장
301,민간체육시설,골프연습장
302,민간체육시설,골프장
303,민간체육시설,국궁장
304,민간체육시설,당구장
305,민간체육시설,롤러스케이트장
306,민간체육시설,무도장
307,민간체육시설,무도학원
308,민간체육시설,볼링장
309,민간체육시설,빙상장
310,민간체육시설,사격장
311,민간체육시설,수영장
312,민간체육시설,승마장
313,민간체육시설,야구장
314,민간체육시설,스키장
315,민간체육시설,인공암벽장
316,민간체육시설,전천후게이트볼장
317,민간체육시설,체력단련장
318,민간체육시설,체육도장
319,민간체육시설,축구장
320,민간체육시설,탁구장
321,민간체육시설,테니스장
322,민간체육시설,스크린야구장
323,민간체육시설,스크린골프장
324,민간체육시설,기타 가상체육시설
325,민간체육시설,자동차경주장
326,민간체육시설,요트장
327,민간체육시설,카누장
501,기타체육시설,"청소년체육시설(청소년수련원, 수련관, 유스호스텔 등)"
502,기타체육시설,"복지시설(노인복지시설, 노인대학, 경로당, 장애인시설,"
503,기타체육시설,공공주택단지 체육시설(아파트 등)